calibrate
Number of Components,Grid Size (n*n),Pruned Nodes,Total Nodes,Time,Branching Depth
1,15,878,2,0.000107,3
1,15,878,2,7.8E-05,4
1,15,878,2,8.2E-05,5
1,15,878,2,7.5E-05,6
1,16,878,2,8.4E-05,1
1,16,878,2,8.8E-05,2
1,16,878,2,8.7E-05,3
1,17,878,2,9.7E-05,1
1,17,878,2,8.6E-05,2
1,17,878,2,9.1E-05,3
1,18,878,2,0.000105,1
1,18,878,2,0.000101,2
1,18,878,2,9.8E-05,3
1,19,878,2,0.00011,1
1,19,878,2,0.00011,2
1,19,878,2,9.6E-05,3
1,20,878,2,0.000123,1
1,20,878,2,0.000121,2
1,20,878,2,0.000116,3
1,21,878,2,0.000126,1
1,21,878,2,0.000131,2
1,21,878,2,0.000121,3
1,22,878,2,0.000136,1
1,22,878,2,0.000141,2
1,22,878,2,0.000134,3
1,23,878,2,0.000153,1
1,23,878,2,0.000156,2
1,23,878,2,0.000149,3
1,24,878,2,0.000166,1
1,24,878,2,0.000152,2
1,24,878,2,0.000199,3
1,25,878,2,0.000183,1
1,25,878,2,0.000174,2
1,25,878,2,0.000164,3
1,1,4866,2,1.5E-05,1
1,1,4866,2,9E-06,2
1,1,4866,2,1E-05,3
1,1,4866,2,9E-06,4
1,1,4866,2,1E-05,5
1,1,4866,2,1E-05,6
4,2,4866,5,2E-05,1
4,2,4869,11,3.1E-05,2
4,2,4874,19,5.9E-05,3
4,2,4882,24,7.2E-05,4
4,2,4890,24,5.8E-05,5
4,2,4898,24,5.8E-05,6
8,3,4898,9,3.3E-05,1
8,3,4905,23,7.7E-05,2
8,3,4918,72,0.000167,3
8,3,4973,144,0.000362,4
8,3,5057,315,0.000702,5
8,3,5282,529,0.001176,6
9,8,95725,10,7.9E-05,1
9,8,95733,22,0.000152,2
9,8,95749,75,0.000351,3
9,8,95801,121,0.000574,4
9,8,95911,344,0.001382,5
9,8,96034,299,0.001228,6
11,4,5282,12,3.6E-05,1
11,4,5292,32,0.000119,2
11,4,5310,152,0.00031,3
11,4,5438,352,0.000787,4
11,4,5652,1235,0.002333,5
11,4,6660,2555,0.006096,6
18,5,6660,19,5.5E-05,1
18,5,6677,53,0.000219,2
18,5,6710,356,0.000791,3
18,5,7029,894,0.002489,4
18,5,7599,5069,0.010692,5
18,5,12092,12204,0.031725,6
27,6,12092,28,0.000108,1
27,6,12118,80,0.000323,2
27,6,12169,766,0.00206,3
27,6,12880,2040,0.006458,4
27,6,14204,17152,0.039794,5
27,6,30026,44052,0.143467,6
34,7,0,35,0.00018,1
34,7,33,103,0.000571,2
34,7,100,1282,0.004727,3
34,7,1311,3564,0.014207,4
34,7,3659,40342,0.107344,5
34,7,41647,110274,0.396982,6
34,7,113924,1168017,3.13998,7
34,7,1209567,3124430,10.682,8
34,7,0,35,0.000134,1
34,7,33,103,0.00061,2
34,7,100,1282,0.004239,3
34,7,1311,3564,0.013489,4
34,7,3659,40342,0.111251,5
34,7,41647,110274,0.398216,6
34,7,113924,1168017,3.09943,7
34,7,1209567,3124430,10.6969,8
34,7,3237372,30600089,89.1792,9
39,9,96034,40,0.00017,1
39,9,96072,115,0.000576,2
39,9,96178,1630,0.005507,3
39,9,97737,4502,0.024709,4
39,9,102039,57477,0.210509,5
39,9,149153,136636,0.613394,6
40,7,30026,41,0.000165,1
40,7,30065,121,0.00058,2
40,7,30144,1730,0.004939,3
40,7,31791,4871,0.020309,4
